fold,n_val,in_sample_best,heldout_best,heldout_current,heldout_gain%,overfit_gap
1,24,0.2602,0.2248,0.1908,17.8,0.0354
2,24,0.259,0.2232,0.231,-3.4,0.0358
3,24,0.2572,0.2434,0.1988,22.4,0.0138
4,24,0.2571,0.2625,0.1979,32.6,-0.0054
5,24,0.2608,0.2475,0.1854,33.5,0.0133
