location_id,location_name,lat,lon,geo_source
d0dd29f4-691d-430e-bc60-3e3038313a29,Chicago History Museum,41.9119903,-87.631514,nominatim
9535776b-f785-4ea4-8376-0f7597db114e,Chicago Shakespeare Theater,41.8913061,-87.605814,nominatim
d5d24b26-e2cd-41ff-b4e8-eaf891f8b1de,Chicago Style by Katie Lukes,41.8996659,-87.6256206,known_address+nominatim
9146e451-276b-4918-b301-7ae41e933810,Chicago Symphony Orchestra,41.8789844,-87.625093,firecrawl+nominatim_name
030e01ed-f343-4468-bc45-1722220ed333,Chicago Theatre,41.8854968,-87.6271883,nominatim
6cf9b47c-e237-456a-876d-8ba9028bf56e,Chicago's North Shore,41.8871733,-87.6138836,firecrawl+nominatim_name
aeadae4f-b1b3-4289-9df6-c69aaea8c819,Chicago's North Shore,41.8871733,-87.6138836,firecrawl+nominatim_name
09eff1bb-4cc1-4973-83b8-ff08e0c6e9d0,Citizen M,41.8815571,-87.6259556,firecrawl+nominatim
c929ef13-839c-4dc4-ba92-371bb68911ec,City Cruises Chicago,41.8917999,-87.6041447,firecrawl+nominatim
27079374-4b20-4dbc-8c9b-b49fd64eb928,City Cruises Chicago,41.8917999,-87.6041447,firecrawl+nominatim
a4cc19e2-521b-4707-91f5-a68ddd9236cd,City Cruises Chicago,41.8917999,-87.6041447,firecrawl+nominatim
afe574c9-23ae-47e7-a407-442c93a17403,City Cruises Chicago,41.8917999,-87.6041447,firecrawl+nominatim
fe6337f9-9caf-4a5b-b9ce-7dfe628b670d,Claridge House,41.9052241,-87.6304462,nominatim
3fd80f7d-ab09-4088-9796-9571a14a7926,Clark Street in Lincoln Park,41.9246456,-87.6395705,firecrawl+nominatim
86ecc39d-1a4f-4bf4-83a5-78f595a8b8b9,Clark Street in Lincoln Park,41.9246456,-87.6395705,firecrawl+nominatim
e6a80f79-2925-4aee-8227-97e097ca91b6,Club Quarters,41.8876218,-87.625448,nominatim
27509459-167a-4013-97c9-32c9330b6b39,Club Quarters,41.8876218,-87.625448,nominatim
d7f34584-aefb-4499-be0d-9169cb77c642,Cobra Lounge,41.8863874,-87.6667991,nominatim
6a4649f5-b11a-43e0-af7a-b9cc69837daf,Color Factory,41.8783753,-87.6358062,nominatim
08bb71a2-85d5-40c4-be63-8836184d0b66,Cone Gourmet Ice Cream,41.8814852,-87.6539786,nominatim
d8392d2f-d8b3-4415-bd9d-93e6b4283b00,Congress Plaza,41.8749586,-87.6248317,nominatim
d3d8f269-525c-4846-9cd1-cc87ecc10184,Corcoran's Grill & Pub,41.9116012,-87.634437,nominatim
e3221d57-924a-4709-b0e6-4e5f13c5cc37,Corcoran's Grill & Pub,41.9116012,-87.634437,nominatim
8e8e448e-fe9d-43ff-8550-f301f9b79dad,Courtyard by Marriott,41.8931221,-87.6231005,nominatim
398f0ab3-55e0-45e0-8309-0a25178ed5d7,Courtyard by Marriott,41.8931221,-87.6231005,nominatim
4c25e6f0-230a-4ea9-99c0-8ac30a809d4f,Courtyard by Marriott Chicago at Medical District/UIC,41.8736647,-87.6661477,nominatim
56824653-dfe5-4776-a089-423e18796d34,Courtyard by Marriott Chicago at Medical District/UIC,41.8736647,-87.6661477,nominatim
90b8cde4-6823-4348-ad72-f07edacea59e,Doubletree,41.8928119,-87.6199576,nominatim
3916f62a-4a56-4ad7-9598-6ae0713d0602,Drake,41.9004207,-87.6234192,nominatim
93bbbf41-6a56-4d8d-a9e4-188e947d9d02,EMC2,41.8935645,-87.6216316,nominatim
acdb5bdf-ab35-4134-8258-dfdce026c0a4,Eataly,41.892164,-87.6263766,nominatim
5ff70bc9-91d7-49f3-8042-b7821c112e39,Embassy Suites,41.8915058,-87.6196694,nominatim
8cb3a078-97e0-468e-aa20-67eb3be462d6,Embassy Suites,41.8915058,-87.6196694,nominatim
94657afc-0436-421f-b928-de0f464c8351,Emerald Loop,41.8863702,-87.6265173,nominatim
6e66516a-10f6-4a13-885d-c9c144bc2dfb,Eurostars,41.8943132,-87.6284307,nominatim
4c4aaf2e-2e5d-4508-9d4e-42a85223f47d,Ever Restaurant,41.8868452,-87.660486,nominatim
