config,ndcg,sim,popularity,item_collab,user_collab,trending,session
random,0.213942,0.795,0.085,0.006,0.018,0.003,0.093
random,0.213917,0.247,0.123,0.45,0.053,0.008,0.119
random,0.213841,0.229,0.09,0.149,0.209,0.151,0.171
random,0.213826,0.171,0.381,0.02,0.104,0.057,0.266
random,0.21382,0.245,0.345,0.036,0.007,0.098,0.27
random,0.21381,0.263,0.203,0.042,0.156,0.012,0.324
random,0.213797,0.216,0.214,0.159,0.103,0.081,0.228
random,0.213774,0.177,0.352,0.366,0.028,0.028,0.048
random,0.213765,0.509,0.051,0.273,0.023,0.044,0.099
random,0.213759,0.045,0.186,0.153,0.504,0.054,0.059
random,0.213739,0.129,0.512,0.036,0.006,0.176,0.141
random,0.213732,0.119,0.46,0.213,0.141,0.0,0.067
random,0.213684,0.286,0.006,0.365,0.2,0.139,0.003
random,0.213681,0.328,0.052,0.36,0.152,0.005,0.102
random,0.213671,0.565,0.004,0.054,0.06,0.007,0.311
random,0.21367,0.436,0.072,0.221,0.021,0.104,0.147
random,0.213668,0.144,0.202,0.102,0.224,0.164,0.165
random,0.213625,0.346,0.069,0.235,0.034,0.151,0.164
random,0.213609,0.455,0.0,0.114,0.074,0.121,0.236
random,0.213582,0.711,0.049,0.089,0.077,0.014,0.059
random,0.213582,0.361,0.033,0.099,0.035,0.138,0.333
random,0.213574,0.244,0.165,0.085,0.197,0.007,0.302
random,0.213545,0.211,0.225,0.023,0.088,0.195,0.258
random,0.213538,0.838,0.053,0.003,0.013,0.01,0.083
random,0.213518,0.057,0.321,0.174,0.385,0.03,0.033
random,0.213514,0.621,0.02,0.037,0.078,0.078,0.166
random,0.213504,0.187,0.159,0.144,0.239,0.223,0.048
random,0.213504,0.123,0.239,0.288,0.183,0.124,0.042
random,0.213495,0.32,0.157,0.273,0.103,0.098,0.048
random,0.213495,0.149,0.198,0.15,0.185,0.108,0.21
random,0.21347,0.227,0.076,0.456,0.099,0.026,0.115
random,0.213454,0.345,0.158,0.245,0.048,0.081,0.122
random,0.213444,0.721,0.005,0.028,0.023,0.094,0.13
random,0.21344,0.201,0.262,0.006,0.124,0.205,0.201
random,0.21341,0.539,0.081,0.052,0.032,0.008,0.288
random,0.213399,0.273,0.263,0.286,0.078,0.011,0.089
random,0.213391,0.592,0.048,0.222,0.059,0.013,0.065
random,0.213352,0.725,0.135,0.098,0.001,0.037,0.004
random,0.213305,0.3,0.068,0.112,0.195,0.09,0.234
random,0.213298,0.616,0.109,0.026,0.043,0.017,0.19
random,0.213285,0.729,0.02,0.114,0.039,0.079,0.019
random,0.213276,0.187,0.092,0.476,0.152,0.086,0.008
random,0.213274,0.367,0.056,0.068,0.108,0.191,0.21
random,0.213237,0.459,0.118,0.046,0.087,0.039,0.252
random,0.213221,0.325,0.071,0.302,0.111,0.155,0.036
random,0.213209,0.151,0.219,0.293,0.199,0.106,0.031
random,0.2132,0.298,0.187,0.205,0.121,0.065,0.125
random,0.213176,0.157,0.6,0.086,0.054,0.092,0.011
random,0.213171,0.387,0.014,0.081,0.002,0.142,0.373
random,0.213158,0.587,0.21,0.053,0.016,0.002,0.132
random,0.213147,0.577,0.026,0.081,0.007,0.191,0.119
random,0.213143,0.389,0.025,0.288,0.131,0.038,0.129
random,0.213143,0.543,0.186,0.057,0.003,0.06,0.152
random,0.213054,0.452,0.006,0.326,0.117,0.011,0.089
random,0.213031,0.267,0.271,0.103,0.043,0.103,0.212
random,0.213026,0.427,0.098,0.134,0.084,0.002,0.255
random,0.213008,0.473,0.024,0.343,0.021,0.11,0.028
random,0.213,0.099,0.024,0.253,0.546,0.033,0.044
random,0.212972,0.31,0.21,0.245,0.019,0.192,0.024
random,0.212908,0.629,0.039,0.085,0.044,0.06,0.142
random,0.212908,0.244,0.17,0.149,0.148,0.115,0.174
random,0.212893,0.296,0.004,0.407,0.181,0.084,0.028
random,0.212893,0.757,0.077,0.103,0.032,0.012,0.019
random,0.212886,0.251,0.167,0.406,0.095,0.068,0.013
random,0.212846,0.301,0.154,0.012,0.227,0.233,0.072
random,0.212845,0.221,0.255,0.398,0.062,0.031,0.033
random,0.21283,0.138,0.001,0.235,0.483,0.124,0.019
random,0.212796,0.334,0.335,0.028,0.013,0.221,0.068
random,0.212771,0.202,0.17,0.195,0.211,0.102,0.119
random,0.212769,0.396,0.075,0.076,0.07,0.057,0.325
random,0.212763,0.468,0.035,0.043,0.014,0.132,0.308
random,0.212752,0.744,0.038,0.056,0.006,0.147,0.009
random,0.212739,0.449,0.123,0.185,0.007,0.088,0.148
random,0.212738,0.424,0.161,0.122,0.007,0.067,0.218
random,0.212705,0.342,0.259,0.0,0.071,0.252,0.076
random,0.212668,0.2,0.214,0.099,0.102,0.209,0.176
random,0.212667,0.46,0.017,0.318,0.14,0.016,0.05
random,0.212666,0.309,0.115,0.128,0.022,0.034,0.392
random,0.212655,0.496,0.068,0.131,0.016,0.0,0.29
random,0.212627,0.323,0.013,0.291,0.167,0.05,0.155
random,0.212621,0.122,0.142,0.185,0.437,0.02,0.095
random,0.21258,0.294,0.012,0.276,0.026,0.044,0.347
random,0.212527,0.097,0.335,0.052,0.465,0.042,0.009
random,0.212526,0.105,0.469,0.068,0.145,0.129,0.085
random,0.212501,0.318,0.173,0.259,0.033,0.156,0.061
random,0.212486,0.389,0.042,0.247,0.0,0.175,0.148
random,0.212466,0.179,0.171,0.101,0.281,0.025,0.244
random,0.212458,0.236,0.047,0.458,0.137,0.098,0.025
random,0.212435,0.327,0.036,0.17,0.129,0.052,0.287
random,0.212432,0.421,0.015,0.349,0.103,0.047,0.065
random,0.212409,0.311,0.037,0.008,0.254,0.0,0.39
random,0.212347,0.068,0.469,0.066,0.352,0.018,0.027
random,0.212343,0.423,0.007,0.119,0.166,0.095,0.19
random,0.212328,0.26,0.084,0.599,0.001,0.05,0.007
random,0.212324,0.484,0.049,0.263,0.022,0.167,0.016
random,0.212323,0.364,0.038,0.053,0.282,0.245,0.018
random,0.212319,0.118,0.207,0.082,0.373,0.018,0.203
random,0.212307,0.553,0.007,0.188,0.121,0.113,0.017
random,0.212253,0.645,0.025,0.048,0.01,0.109,0.164
random,0.212241,0.121,0.047,0.33,0.447,0.052,0.002
random,0.21224,0.26,0.206,0.367,0.058,0.045,0.063
random,0.212204,0.525,0.029,0.121,0.003,0.107,0.215
random,0.212146,0.215,0.091,0.396,0.234,0.031,0.033
random,0.212134,0.439,0.047,0.049,0.046,0.008,0.412
random,0.212092,0.413,0.013,0.318,0.077,0.105,0.073
random,0.212057,0.799,0.014,0.087,0.043,0.006,0.051
random,0.212048,0.435,0.117,0.014,0.112,0.24,0.082
random,0.212046,0.672,0.037,0.016,0.078,0.181,0.015
random,0.212036,0.189,0.439,0.2,0.001,0.021,0.15
random,0.212035,0.387,0.228,0.105,0.032,0.08,0.168
random,0.212032,0.317,0.089,0.404,0.121,0.003,0.065
random,0.212028,0.318,0.087,0.002,0.299,0.236,0.058
random,0.212024,0.108,0.495,0.152,0.059,0.04,0.146
random,0.212023,0.499,0.155,0.06,0.012,0.024,0.25
random,0.211971,0.107,0.061,0.313,0.378,0.086,0.055
random,0.211944,0.616,0.027,0.039,0.075,0.178,0.065
random,0.211906,0.329,0.001,0.217,0.186,0.113,0.154
random,0.211889,0.378,0.02,0.011,0.015,0.064,0.511
random,0.211883,0.447,0.108,0.063,0.004,0.048,0.331
random,0.211825,0.121,0.434,0.046,0.096,0.059,0.244
random,0.211815,0.363,0.016,0.155,0.07,0.123,0.274
random,0.211802,0.283,0.021,0.406,0.176,0.09,0.024
random,0.211799,0.091,0.268,0.234,0.375,0.012,0.021
random,0.211786,0.376,0.077,0.046,0.0,0.254,0.247
random,0.211781,0.106,0.45,0.052,0.31,0.061,0.02
random,0.211737,0.28,0.049,0.0,0.398,0.27,0.002
random,0.2117,0.361,0.128,0.048,0.06,0.12,0.283
random,0.211677,0.26,0.022,0.487,0.116,0.091,0.023
random,0.211672,0.349,0.014,0.041,0.011,0.135,0.451
random,0.211661,0.06,0.289,0.201,0.381,0.05,0.019
random,0.211555,0.51,0.055,0.041,0.001,0.05,0.344
random,0.21155,0.679,0.024,0.178,0.012,0.063,0.046
random,0.211514,0.3,0.126,0.209,0.069,0.004,0.293
random,0.21148,0.742,0.007,0.001,0.016,0.02,0.214
random,0.211454,0.302,0.088,0.382,0.135,0.002,0.091
random,0.211434,0.455,0.014,0.108,0.17,0.246,0.006
random,0.21141,0.483,0.103,0.028,0.072,0.21,0.104
random,0.211338,0.159,0.42,0.183,0.027,0.026,0.185
random,0.211306,0.247,0.172,0.319,0.205,0.055,0.003
random,0.211239,0.142,0.028,0.061,0.413,0.179,0.177
random,0.211229,0.036,0.045,0.115,0.655,0.006,0.143
random,0.21121,0.335,0.002,0.331,0.116,0.04,0.176
random,0.211189,0.307,0.063,0.129,0.071,0.183,0.247
random,0.211171,0.168,0.017,0.228,0.375,0.109,0.103
random,0.211161,0.243,0.033,0.078,0.364,0.281,0.002
random,0.211158,0.084,0.004,0.16,0.55,0.079,0.123
random,0.211157,0.412,0.125,0.247,0.067,0.071,0.078
random,0.211117,0.29,0.083,0.177,0.026,0.153,0.271
random,0.211093,0.12,0.532,0.084,0.124,0.074,0.065
random,0.211085,0.329,0.229,0.071,0.0,0.01,0.361
random,0.211083,0.385,0.167,0.075,0.089,0.013,0.273
random,0.211082,0.278,0.174,0.193,0.027,0.053,0.276
random,0.210928,0.176,0.023,0.081,0.353,0.202,0.165
random,0.210924,0.087,0.391,0.068,0.279,0.002,0.173
random,0.210903,0.513,0.137,0.086,0.079,0.18,0.005
random,0.210891,0.394,0.046,0.128,0.099,0.198,0.134
random,0.210874,0.167,0.241,0.011,0.129,0.135,0.318
random,0.210854,0.47,0.039,0.059,0.015,0.066,0.351
random,0.21085,0.125,0.127,0.016,0.35,0.128,0.255
random,0.210831,0.447,0.162,0.129,0.054,0.206,0.002
random,0.210813,0.297,0.154,0.358,0.095,0.019,0.076
random,0.21074,0.352,0.108,0.121,0.016,0.24,0.163
random,0.210708,0.196,0.72,0.01,0.052,0.016,0.006
random,0.210692,0.364,0.092,0.168,0.107,0.096,0.173
random,0.210686,0.284,0.148,0.342,0.127,0.016,0.083
random,0.210685,0.259,0.006,0.489,0.071,0.082,0.094
random,0.21067,0.673,0.071,0.004,0.025,0.033,0.194
random,0.210652,0.524,0.047,0.024,0.084,0.032,0.289
random,0.210614,0.374,0.099,0.089,0.108,0.053,0.277
random,0.210556,0.2,0.066,0.096,0.248,0.163,0.226
random,0.21051,0.534,0.008,0.251,0.092,0.077,0.037
random,0.210485,0.268,0.04,0.077,0.188,0.231,0.196
random,0.210446,0.251,0.032,0.373,0.136,0.133,0.075
random,0.21043,0.832,0.05,0.057,0.006,0.013,0.04
random,0.210428,0.105,0.281,0.171,0.346,0.014,0.083
random,0.210412,0.132,0.009,0.017,0.448,0.157,0.237
random,0.210394,0.432,0.099,0.152,0.025,0.24,0.051
random,0.210391,0.352,0.13,0.07,0.179,0.264,0.004
random,0.210353,0.321,0.127,0.257,0.048,0.172,0.074
random,0.210336,0.244,0.061,0.334,0.07,0.064,0.226
random,0.210303,0.457,0.015,0.12,0.154,0.082,0.171
random,0.210253,0.948,0.005,0.01,0.002,0.0,0.035
random,0.210247,0.231,0.006,0.58,0.161,0.015,0.007
random,0.210246,0.321,0.114,0.168,0.113,0.089,0.195
random,0.210245,0.058,0.207,0.063,0.605,0.062,0.005
random,0.210216,0.524,0.014,0.078,0.0,0.159,0.224
random,0.210195,0.012,0.145,0.151,0.622,0.046,0.025
random,0.210163,0.478,0.054,0.012,0.011,0.138,0.307
random,0.210131,0.24,0.0,0.378,0.214,0.129,0.038
random,0.210128,0.201,0.433,0.244,0.005,0.016,0.101
random,0.210126,0.074,0.492,0.079,0.306,0.038,0.011
random,0.210111,0.164,0.175,0.059,0.231,0.141,0.231
random,0.210097,0.885,0.004,0.002,0.0,0.082,0.028
random,0.210082,0.342,0.004,0.226,0.153,0.138,0.136
random,0.210072,0.086,0.394,0.037,0.399,0.013,0.072
random,0.21007,0.202,0.273,0.086,0.039,0.222,0.178
random,0.210066,0.168,0.129,0.076,0.328,0.002,0.297
random,0.210063,0.383,0.103,0.105,0.021,0.208,0.18
random,0.210028,0.102,0.207,0.182,0.279,0.07,0.16
random,0.209954,0.343,0.099,0.106,0.016,0.196,0.239
random,0.209951,0.082,0.25,0.163,0.395,0.028,0.082
random,0.209939,0.246,0.325,0.002,0.001,0.036,0.39
random,0.209938,0.44,0.101,0.001,0.184,0.26,0.014
random,0.209922,0.054,0.274,0.055,0.488,0.021,0.107
random,0.209877,0.006,0.103,0.174,0.646,0.047,0.024
random,0.209802,0.206,0.296,0.077,0.073,0.025,0.323
random,0.209787,0.252,0.063,0.29,0.199,0.18,0.016
random,0.209786,0.28,0.169,0.018,0.079,0.227,0.228
random,0.209779,0.415,0.022,0.05,0.166,0.056,0.291
random,0.209745,0.22,0.059,0.258,0.147,0.134,0.182
random,0.209736,0.19,0.346,0.276,0.03,0.003,0.156
random,0.209699,0.388,0.185,0.008,0.027,0.029,0.363
random,0.209684,0.127,0.566,0.085,0.008,0.0,0.213
random,0.20968,0.128,0.29,0.124,0.176,0.012,0.269
random,0.209642,0.138,0.313,0.067,0.172,0.002,0.307
random,0.209583,0.428,0.109,0.111,0.005,0.239,0.108
random,0.209577,0.04,0.184,0.245,0.475,0.045,0.011
random,0.209575,0.303,0.096,0.072,0.122,0.154,0.252
random,0.20956,0.396,0.019,0.249,0.055,0.133,0.148
random,0.209556,0.083,0.37,0.001,0.37,0.054,0.123
random,0.209545,0.118,0.517,0.23,0.015,0.111,0.009
random,0.209542,0.178,0.455,0.064,0.018,0.237,0.048
random,0.209533,0.028,0.258,0.169,0.464,0.001,0.08
random,0.209491,0.312,0.075,0.182,0.152,0.043,0.236
random,0.209475,0.323,0.002,0.321,0.098,0.048,0.208
random,0.209474,0.179,0.161,0.305,0.179,0.049,0.127
random,0.209461,0.553,0.059,0.034,0.0,0.063,0.291
random,0.209454,0.102,0.447,0.1,0.107,0.155,0.089
random,0.209446,0.279,0.152,0.258,0.116,0.046,0.149
random,0.209445,0.084,0.175,0.341,0.321,0.044,0.035
random,0.209437,0.179,0.031,0.12,0.302,0.206,0.162
random,0.209427,0.207,0.253,0.411,0.043,0.067,0.019
random,0.209422,0.208,0.014,0.128,0.253,0.167,0.231
random,0.209355,0.11,0.213,0.176,0.233,0.222,0.045
random,0.209317,0.067,0.166,0.015,0.668,0.07,0.013
random,0.209316,0.242,0.129,0.158,0.087,0.207,0.177
random,0.209313,0.546,0.027,0.252,0.092,0.08,0.004
random,0.209262,0.595,0.039,0.088,0.045,0.076,0.157
random,0.20925,0.074,0.427,0.103,0.226,0.018,0.153
random,0.209238,0.32,0.175,0.25,0.007,0.144,0.104
random,0.209238,0.536,0.008,0.067,0.0,0.26,0.129
random,0.209229,0.079,0.483,0.214,0.084,0.124,0.016
random,0.209229,0.182,0.078,0.249,0.193,0.125,0.174
random,0.209224,0.185,0.15,0.0,0.274,0.236,0.156
random,0.209184,0.422,0.114,0.052,0.045,0.079,0.288
random,0.209166,0.009,0.02,0.11,0.711,0.07,0.08
random,0.20916,0.126,0.436,0.067,0.125,0.179,0.067
random,0.2091,0.22,0.291,0.284,0.005,0.119,0.081
random,0.209061,0.301,0.23,0.14,0.079,0.049,0.201
random,0.209051,0.015,0.105,0.007,0.667,0.006,0.201
random,0.209039,0.196,0.111,0.387,0.131,0.148,0.027
random,0.208996,0.126,0.09,0.331,0.325,0.103,0.024
random,0.208958,0.21,0.307,0.233,0.033,0.078,0.14
random,0.208931,0.894,0.006,0.062,0.005,0.004,0.029
random,0.208924,0.21,0.287,0.19,0.001,0.266,0.046
random,0.208828,0.128,0.486,0.247,0.057,0.009,0.072
random,0.208784,0.235,0.037,0.347,0.238,0.122,0.021
random,0.208764,0.221,0.256,0.305,0.016,0.015,0.188
random,0.208738,0.14,0.007,0.037,0.489,0.051,0.275
random,0.208724,0.118,0.226,0.2,0.307,0.075,0.073
random,0.208665,0.081,0.452,0.025,0.235,0.033,0.173
random,0.208614,0.257,0.176,0.306,0.19,0.002,0.069
random,0.208603,0.177,0.164,0.351,0.285,0.001,0.021
random,0.208573,0.118,0.552,0.053,0.021,0.057,0.199
random,0.208539,0.188,0.102,0.436,0.223,0.012,0.04
random,0.208527,0.268,0.257,0.227,0.009,0.153,0.085
random,0.20852,0.211,0.032,0.372,0.135,0.126,0.123
random,0.208492,0.062,0.004,0.221,0.522,0.096,0.095
random,0.208488,0.331,0.184,0.117,0.094,0.02,0.253
random,0.208487,0.185,0.215,0.167,0.078,0.152,0.204
random,0.208478,0.249,0.306,0.073,0.033,0.104,0.235
random,0.208448,0.196,0.231,0.286,0.084,0.199,0.005
random,0.20844,0.157,0.244,0.051,0.109,0.166,0.274
random,0.208427,0.227,0.223,0.212,0.147,0.004,0.188
random,0.208322,0.071,0.216,0.234,0.299,0.101,0.079
random,0.208284,0.365,0.158,0.023,0.027,0.168,0.26
random,0.208276,0.474,0.014,0.036,0.041,0.057,0.378
random,0.208247,0.777,0.062,0.097,0.003,0.039,0.023
random,0.208209,0.088,0.31,0.001,0.48,0.068,0.052
random,0.208176,0.228,0.262,0.044,0.054,0.088,0.324
random,0.20817,0.207,0.027,0.484,0.13,0.136,0.017
random,0.208157,0.224,0.014,0.378,0.274,0.037,0.072
random,0.208116,0.31,0.071,0.146,0.014,0.042,0.417
random,0.208089,0.18,0.004,0.136,0.319,0.246,0.116
random,0.208085,0.383,0.181,0.014,0.011,0.091,0.321
random,0.208064,0.02,0.041,0.153,0.624,0.099,0.064
random,0.208042,0.26,0.201,0.199,0.098,0.221,0.021
random,0.208037,0.261,0.246,0.01,0.083,0.258,0.142
random,0.207933,0.451,0.002,0.001,0.171,0.014,0.361
random,0.207923,0.392,0.189,0.057,0.002,0.241,0.12
random,0.207922,0.125,0.013,0.008,0.431,0.189,0.236
random,0.207911,0.321,0.079,0.052,0.281,0.263,0.005
random,0.207883,0.416,0.038,0.016,0.03,0.098,0.402
random,0.207855,0.292,0.008,0.487,0.016,0.032,0.165
random,0.207848,0.411,0.001,0.002,0.1,0.12,0.366
random,0.207807,0.2,0.303,0.357,0.036,0.069,0.035
random,0.207792,0.308,0.117,0.229,0.183,0.004,0.159
random,0.207753,0.219,0.119,0.248,0.12,0.148,0.146
random,0.207708,0.066,0.378,0.011,0.4,0.006,0.14
random,0.207699,0.041,0.343,0.191,0.361,0.044,0.02
random,0.207679,0.21,0.221,0.253,0.09,0.097,0.129
random,0.207678,0.231,0.233,0.135,0.01,0.009,0.381
random,0.207631,0.121,0.342,0.159,0.138,0.167,0.073
random,0.207623,0.367,0.014,0.38,0.002,0.034,0.202
random,0.207565,0.243,0.165,0.331,0.032,0.131,0.097
random,0.207514,0.357,0.013,0.291,0.049,0.241,0.049
random,0.207477,0.629,0.028,0.03,0.018,0.238,0.056
random,0.207475,0.308,0.19,0.121,0.153,0.001,0.227
random,0.207428,0.059,0.084,0.069,0.506,0.119,0.163
random,0.207387,0.13,0.115,0.23,0.309,0.055,0.161
random,0.207361,0.262,0.01,0.447,0.125,0.042,0.114
random,0.207353,0.207,0.142,0.419,0.074,0.012,0.145
random,0.20733,0.182,0.26,0.014,0.067,0.201,0.276
random,0.207307,0.543,0.027,0.046,0.008,0.233,0.144
random,0.207281,0.172,0.037,0.364,0.318,0.042,0.068
random,0.207279,0.281,0.011,0.239,0.077,0.06,0.332
random,0.207263,0.535,0.021,0.036,0.126,0.26,0.023
random,0.207235,0.146,0.001,0.268,0.345,0.173,0.066
random,0.207169,0.478,0.006,0.041,0.004,0.089,0.382
random,0.207165,0.071,0.024,0.053,0.559,0.132,0.162
random,0.207135,0.387,0.062,0.094,0.114,0.004,0.338
random,0.207131,0.262,0.001,0.312,0.167,0.062,0.195
random,0.207074,0.085,0.267,0.294,0.175,0.163,0.017
random,0.207,0.27,0.154,0.122,0.042,0.049,0.362
random,0.206994,0.074,0.194,0.114,0.374,0.128,0.116
random,0.206928,0.247,0.03,0.235,0.303,0.01,0.174
random,0.206855,0.112,0.177,0.41,0.256,0.032,0.013
random,0.206841,0.373,0.084,0.13,0.118,0.264,0.031
random,0.206727,0.084,0.09,0.074,0.46,0.105,0.186
random,0.20672,0.157,0.286,0.364,0.079,0.071,0.042
random,0.20671,0.168,0.376,0.29,0.049,0.006,0.111
random,0.206681,0.218,0.002,0.55,0.123,0.081,0.025
random,0.206602,0.034,0.089,0.003,0.588,0.0,0.285
random,0.206597,0.061,0.016,0.047,0.594,0.027,0.254
random,0.206591,0.331,0.004,0.359,0.292,0.001,0.012
random,0.206584,0.353,0.013,0.451,0.01,0.146,0.027
random,0.206583,0.607,0.008,0.053,0.016,0.245,0.07
random,0.206485,0.155,0.052,0.117,0.316,0.204,0.155
random,0.206481,0.029,0.217,0.297,0.317,0.12,0.02
random,0.206422,0.059,0.312,0.081,0.333,0.055,0.16
random,0.206385,0.232,0.172,0.363,0.059,0.108,0.065
random,0.206381,0.153,0.345,0.42,0.039,0.036,0.006
random,0.206336,0.045,0.233,0.119,0.416,0.076,0.112
random,0.206327,0.118,0.461,0.262,0.034,0.095,0.029
random,0.206267,0.165,0.57,0.006,0.167,0.079,0.013
random,0.206266,0.325,0.006,0.0,0.197,0.065,0.407
random,0.206199,0.097,0.38,0.269,0.203,0.042,0.009
random,0.206183,0.064,0.002,0.185,0.622,0.018,0.109
random,0.206125,0.279,0.075,0.138,0.153,0.049,0.306
random,0.206083,0.328,0.002,0.274,0.001,0.25,0.145
random,0.206047,0.098,0.497,0.016,0.094,0.004,0.291
random,0.206032,0.12,0.525,0.015,0.083,0.082,0.174
random,0.205996,0.073,0.079,0.0,0.544,0.003,0.3
random,0.205988,0.105,0.201,0.078,0.344,0.053,0.22
random,0.205966,0.136,0.022,0.247,0.388,0.115,0.091
random,0.205954,0.529,0.006,0.133,0.009,0.283,0.04
random,0.205952,0.114,0.054,0.322,0.401,0.035,0.073
random,0.205934,0.064,0.293,0.036,0.565,0.033,0.01
random,0.20585,0.047,0.35,0.018,0.496,0.0,0.089
random,0.205827,0.17,0.185,0.082,0.206,0.233,0.124
random,0.205819,0.39,0.025,0.263,0.122,0.196,0.004
random,0.205816,0.331,0.104,0.016,0.057,0.212,0.28
random,0.205802,0.15,0.332,0.235,0.031,0.214,0.039
random,0.205782,0.369,0.203,0.014,0.007,0.287,0.121
random,0.205763,0.307,0.102,0.119,0.043,0.144,0.284
random,0.205707,0.097,0.578,0.165,0.129,0.004,0.026
random,0.205654,0.47,0.022,0.052,0.154,0.297,0.005
random,0.205654,0.235,0.165,0.243,0.013,0.121,0.224
random,0.205634,0.203,0.002,0.219,0.174,0.237,0.164
random,0.205625,0.209,0.031,0.36,0.21,0.014,0.176
random,0.205604,0.258,0.09,0.419,0.001,0.141,0.09
random,0.205566,0.403,0.032,0.027,0.102,0.019,0.415
random,0.205544,0.126,0.317,0.157,0.108,0.226,0.065
random,0.205537,0.24,0.104,0.281,0.107,0.068,0.2
random,0.20553,0.341,0.136,0.126,0.101,0.023,0.274
random,0.205395,0.209,0.024,0.191,0.196,0.126,0.253
random,0.205382,0.021,0.137,0.016,0.549,0.018,0.259
random,0.205338,0.103,0.245,0.155,0.253,0.042,0.202
random,0.205312,0.277,0.012,0.092,0.165,0.09,0.364
random,0.205306,0.268,0.137,0.115,0.029,0.083,0.368
random,0.205282,0.475,0.042,0.046,0.03,0.223,0.185
random,0.205269,0.023,0.25,0.201,0.376,0.121,0.028
random,0.205216,0.233,0.112,0.138,0.098,0.14,0.279
random,0.205212,0.291,0.007,0.501,0.001,0.074,0.126
random,0.205211,0.218,0.018,0.249,0.087,0.317,0.111
random,0.205178,0.263,0.067,0.239,0.006,0.256,0.169
random,0.205148,0.401,0.156,0.0,0.097,0.262,0.085
random,0.205132,0.168,0.013,0.358,0.266,0.192,0.003
random,0.205113,0.43,0.037,0.023,0.152,0.269,0.089
random,0.205095,0.191,0.254,0.221,0.022,0.028,0.284
random,0.205094,0.324,0.018,0.036,0.218,0.284,0.119
random,0.205087,0.636,0.022,0.042,0.005,0.286,0.009
random,0.205077,0.09,0.089,0.184,0.341,0.027,0.269
random,0.205059,0.117,0.379,0.099,0.05,0.215,0.139
random,0.205001,0.147,0.452,0.108,0.018,0.067,0.208
random,0.204993,0.08,0.362,0.012,0.252,0.05,0.245
random,0.20489,0.098,0.404,0.04,0.177,0.038,0.244
random,0.20488,0.117,0.34,0.002,0.095,0.105,0.342
random,0.204855,0.302,0.04,0.119,0.166,0.288,0.084
random,0.204815,0.165,0.294,0.339,0.042,0.06,0.099
random,0.20481,0.221,0.026,0.251,0.239,0.083,0.181
random,0.204808,0.324,0.121,0.007,0.085,0.009,0.453
random,0.204807,0.378,0.0,0.182,0.105,0.208,0.126
random,0.204785,0.226,0.008,0.182,0.134,0.194,0.257
random,0.204764,0.242,0.069,0.235,0.097,0.106,0.251
random,0.20475,0.357,0.028,0.137,0.097,0.241,0.141
random,0.20474,0.064,0.147,0.15,0.395,0.142,0.102
random,0.20466,0.128,0.048,0.172,0.35,0.083,0.219
random,0.204649,0.116,0.085,0.02,0.443,0.064,0.273
random,0.204614,0.192,0.096,0.091,0.273,0.017,0.331
random,0.204595,0.333,0.09,0.012,0.1,0.013,0.453
random,0.204582,0.364,0.112,0.255,0.029,0.23,0.011
random,0.204554,0.264,0.043,0.122,0.141,0.161,0.269
random,0.204533,0.321,0.003,0.117,0.092,0.005,0.462
random,0.204524,0.403,0.005,0.182,0.11,0.166,0.135
random,0.204521,0.07,0.038,0.303,0.46,0.126,0.003
random,0.204495,0.177,0.062,0.075,0.242,0.249,0.196
random,0.204483,0.273,0.101,0.04,0.095,0.178,0.313
random,0.204482,0.067,0.002,0.135,0.524,0.142,0.13
random,0.204461,0.195,0.0,0.123,0.312,0.067,0.302
random,0.2044,0.267,0.093,0.441,0.009,0.148,0.042
random,0.204388,0.241,0.107,0.24,0.096,0.27,0.045
random,0.204363,0.106,0.1,0.258,0.292,0.18,0.063
random,0.204358,0.107,0.127,0.23,0.288,0.074,0.173
random,0.204292,0.164,0.456,0.023,0.007,0.062,0.287
random,0.204292,0.192,0.025,0.119,0.316,0.076,0.272
random,0.204249,0.169,0.422,0.036,0.074,0.222,0.077
random,0.204229,0.342,0.065,0.0,0.147,0.063,0.383
random,0.2042,0.084,0.276,0.13,0.273,0.169,0.068
random,0.204195,0.189,0.155,0.117,0.159,0.102,0.279
random,0.204149,0.173,0.011,0.234,0.306,0.06,0.217
random,0.204138,0.296,0.134,0.058,0.049,0.288,0.174
random,0.204136,0.202,0.056,0.66,0.029,0.016,0.036
random,0.204112,0.385,0.001,0.184,0.038,0.291,0.102
random,0.204053,0.207,0.021,0.001,0.234,0.224,0.313
random,0.204037,0.428,0.052,0.008,0.11,0.011,0.391
random,0.204015,0.06,0.03,0.033,0.539,0.068,0.27
random,0.203985,0.084,0.004,0.274,0.355,0.112,0.172
random,0.203949,0.579,0.015,0.024,0.019,0.269,0.094
random,0.203912,0.247,0.217,0.011,0.078,0.034,0.412
random,0.203897,0.289,0.006,0.097,0.214,0.278,0.116
random,0.203852,0.341,0.024,0.131,0.056,0.263,0.185
random,0.203839,0.478,0.076,0.088,0.064,0.266,0.028
random,0.203818,0.109,0.538,0.079,0.158,0.113,0.003
random,0.203803,0.022,0.151,0.195,0.453,0.106,0.074
random,0.203784,0.22,0.0,0.227,0.154,0.212,0.186
random,0.20365,0.467,0.048,0.007,0.03,0.054,0.394
random,0.203636,0.197,0.281,0.115,0.007,0.264,0.135
random,0.203611,0.103,0.023,0.331,0.35,0.188,0.005
random,0.203565,0.112,0.42,0.001,0.381,0.06,0.025
