config,ndcg,sim,popularity,item_collab,user_collab,trending,session
random,0.23886,0.176,0.037,0.087,0.538,0.068,0.095
random,0.238828,0.333,0.365,0.076,0.036,0.05,0.14
random,0.238807,0.144,0.117,0.014,0.598,0.053,0.074
random,0.238747,0.251,0.021,0.132,0.535,0.035,0.027
random,0.238732,0.173,0.624,0.076,0.031,0.042,0.054
random,0.238698,0.238,0.523,0.002,0.043,0.045,0.151
random,0.238677,0.27,0.128,0.079,0.41,0.045,0.069
random,0.238408,0.297,0.181,0.014,0.432,0.0,0.075
random,0.238381,0.261,0.116,0.113,0.388,0.06,0.062
random,0.23832,0.157,0.246,0.163,0.402,0.031,0.0
random,0.238225,0.337,0.343,0.005,0.219,0.012,0.083
random,0.23822,0.075,0.147,0.058,0.607,0.094,0.018
random,0.23801,0.163,0.504,0.044,0.204,0.024,0.061
random,0.23797,0.391,0.457,0.0,0.042,0.006,0.104
random,0.237957,0.318,0.237,0.152,0.193,0.089,0.012
random,0.23791,0.192,0.029,0.051,0.513,0.073,0.142
random,0.237899,0.148,0.026,0.106,0.63,0.082,0.008
random,0.237805,0.114,0.088,0.019,0.629,0.057,0.094
random,0.237723,0.248,0.41,0.006,0.094,0.064,0.177
random,0.237707,0.351,0.284,0.041,0.23,0.01,0.084
random,0.237627,0.291,0.176,0.092,0.33,0.049,0.062
random,0.237572,0.179,0.333,0.149,0.208,0.093,0.036
random,0.237421,0.309,0.42,0.032,0.048,0.112,0.079
random,0.237354,0.249,0.286,0.023,0.333,0.099,0.009
random,0.237349,0.199,0.467,0.004,0.288,0.034,0.008
random,0.237339,0.185,0.572,0.055,0.074,0.044,0.07
random,0.237264,0.23,0.004,0.136,0.589,0.01,0.031
random,0.237255,0.184,0.031,0.089,0.549,0.009,0.138
random,0.237191,0.267,0.001,0.137,0.539,0.056,0.001
random,0.237007,0.228,0.509,0.058,0.062,0.107,0.036
random,0.236896,0.163,0.407,0.126,0.21,0.047,0.047
random,0.23686,0.304,0.371,0.029,0.184,0.098,0.014
random,0.236825,0.168,0.059,0.105,0.561,0.08,0.027
random,0.236792,0.302,0.034,0.014,0.538,0.005,0.108
random,0.236778,0.242,0.246,0.02,0.393,0.074,0.026
random,0.236773,0.223,0.416,0.137,0.029,0.141,0.053
random,0.236639,0.36,0.275,0.064,0.259,0.017,0.025
random,0.236618,0.123,0.111,0.077,0.592,0.0,0.098
random,0.236569,0.105,0.064,0.093,0.622,0.106,0.011
random,0.2365,0.127,0.169,0.079,0.443,0.071,0.111
random,0.236465,0.305,0.331,0.037,0.178,0.028,0.12
random,0.236447,0.221,0.244,0.021,0.372,0.112,0.03
random,0.236369,0.207,0.489,0.19,0.108,0.001,0.004
random,0.236362,0.337,0.008,0.018,0.422,0.066,0.148
random,0.23633,0.213,0.519,0.064,0.006,0.05,0.147
random,0.2363,0.4,0.142,0.038,0.32,0.006,0.094
random,0.236242,0.419,0.333,0.029,0.021,0.131,0.067
random,0.236133,0.24,0.112,0.078,0.427,0.084,0.059
random,0.236128,0.132,0.129,0.003,0.599,0.006,0.132
random,0.236101,0.27,0.459,0.007,0.002,0.006,0.256
random,0.2361,0.314,0.037,0.1,0.466,0.001,0.082
random,0.236034,0.339,0.326,0.001,0.14,0.048,0.145
random,0.23593,0.11,0.231,0.092,0.449,0.001,0.117
random,0.235894,0.384,0.367,0.01,0.001,0.098,0.139
random,0.235857,0.127,0.014,0.001,0.843,0.013,0.002
random,0.235856,0.316,0.161,0.0,0.356,0.018,0.148
random,0.235752,0.365,0.303,0.054,0.184,0.013,0.081
random,0.235738,0.06,0.002,0.002,0.818,0.066,0.051
random,0.235646,0.636,0.309,0.039,0.014,0.002,0.0
random,0.235489,0.129,0.283,0.041,0.31,0.121,0.116
random,0.235455,0.137,0.006,0.112,0.674,0.013,0.058
random,0.235426,0.314,0.161,0.019,0.356,0.041,0.108
random,0.235404,0.199,0.474,0.041,0.138,0.146,0.002
random,0.235369,0.203,0.344,0.014,0.245,0.139,0.056
random,0.235278,0.466,0.266,0.109,0.092,0.061,0.006
random,0.235271,0.15,0.005,0.076,0.637,0.004,0.129
random,0.235262,0.191,0.417,0.165,0.168,0.055,0.003
random,0.235145,0.55,0.363,0.015,0.053,0.015,0.005
random,0.235141,0.401,0.341,0.005,0.094,0.003,0.155
random,0.235132,0.314,0.111,0.041,0.356,0.064,0.113
random,0.235038,0.263,0.371,0.085,0.053,0.169,0.06
random,0.235002,0.25,0.407,0.047,0.103,0.051,0.142
random,0.234978,0.394,0.039,0.02,0.4,0.004,0.143
random,0.234956,0.13,0.014,0.001,0.764,0.061,0.03
random,0.234942,0.157,0.088,0.008,0.681,0.052,0.014
random,0.234787,0.143,0.095,0.002,0.632,0.075,0.051
random,0.234778,0.352,0.059,0.038,0.415,0.003,0.133
random,0.23469,0.318,0.242,0.106,0.184,0.086,0.064
random,0.234596,0.522,0.346,0.105,0.009,0.001,0.017
random,0.234532,0.414,0.291,0.157,0.124,0.009,0.006
random,0.23449,0.233,0.013,0.11,0.495,0.101,0.048
random,0.234468,0.19,0.304,0.001,0.371,0.079,0.054
random,0.234342,0.509,0.338,0.003,0.092,0.053,0.005
random,0.234187,0.246,0.399,0.169,0.106,0.073,0.007
random,0.234162,0.196,0.636,0.01,0.008,0.01,0.139
random,0.23394,0.36,0.453,0.001,0.011,0.139,0.036
random,0.233774,0.239,0.195,0.112,0.254,0.119,0.08
random,0.233706,0.251,0.478,0.203,0.062,0.001,0.005
random,0.233628,0.383,0.075,0.063,0.423,0.043,0.012
random,0.233628,0.193,0.319,0.085,0.19,0.137,0.077
random,0.233551,0.359,0.338,0.184,0.104,0.013,0.003
random,0.233532,0.329,0.213,0.082,0.32,0.053,0.001
random,0.233384,0.092,0.197,0.039,0.6,0.003,0.069
random,0.233303,0.082,0.2,0.034,0.631,0.01,0.043
random,0.233291,0.413,0.329,0.078,0.015,0.052,0.113
random,0.233248,0.354,0.002,0.153,0.47,0.005,0.016
random,0.233016,0.174,0.314,0.033,0.332,0.125,0.022
random,0.23301,0.278,0.081,0.017,0.528,0.053,0.044
random,0.232988,0.168,0.111,0.137,0.447,0.132,0.006
random,0.232912,0.112,0.026,0.104,0.679,0.004,0.075
random,0.232907,0.236,0.283,0.01,0.283,0.114,0.075
random,0.232895,0.686,0.241,0.061,0.007,0.001,0.002
random,0.232867,0.258,0.334,0.078,0.122,0.155,0.053
random,0.232714,0.313,0.474,0.01,0.07,0.131,0.002
random,0.232652,0.218,0.231,0.128,0.217,0.159,0.048
random,0.232569,0.277,0.107,0.109,0.332,0.109,0.066
random,0.232507,0.281,0.06,0.15,0.427,0.042,0.041
random,0.232491,0.197,0.434,0.015,0.34,0.007,0.007
random,0.232467,0.235,0.258,0.026,0.171,0.141,0.169
random,0.232464,0.214,0.221,0.145,0.278,0.14,0.002
random,0.232441,0.276,0.113,0.012,0.55,0.024,0.026
random,0.232432,0.225,0.11,0.045,0.357,0.067,0.195
random,0.232402,0.213,0.362,0.059,0.169,0.16,0.037
random,0.232386,0.149,0.422,0.068,0.255,0.091,0.016
random,0.232326,0.259,0.46,0.072,0.045,0.029,0.134
random,0.232294,0.258,0.022,0.099,0.5,0.098,0.024
